NAME,POS,GP,GS,QS,ERA,W,L,SV,HLD,IP,H,ER,HR,BB,K,K/9,WHIP,WAR
Luke LittleCHC,RP,30,1,0,3.46,3,1,0,3,26,15,10,1,18,28,9.7,1.27,0.4
Huascar BrazobanMIA/NYM,RP,33,0,0,3.52,1,3,0,5,46,32,18,2,21,46,9,1.15,0.4
Sean ReynoldsSD,RP,9,0,0,0.82,0,0,0,0,11,10,1,0,5,21,17.2,1.36,0.3
David FestaMIN,SP,11,10,1,5.08,2,6,0,0,51.1,48,29,9,16,62,10.9,1.25,0.3
Jonathan LoaisigaNYY,RP,3,0,0,0,1,0,0,0,4,7,0,0,1,3,6.8,2,0.3
Tyler FergusonOAK,RP,40,0,0,4.15,3,2,2,7,43.1,29,20,4,22,53,11,1.18,0.3
Blake WalstonARI,SP,3,2,0,2.84,0,0,0,0,12.2,9,4,0,9,11,7.8,1.42,0.3
Ethan RobertsCHC,RP,14,0,0,2.33,0,0,0,0,19.1,21,5,1,7,20,9.3,1.45,0.3
Angel ChivilliCOL,RP,23,0,0,3.75,1,2,1,5,24,23,10,6,4,18,6.8,1.13,0.3
Cole SulserTB/NYM,RP,9,2,0,3.14,1,0,0,1,14.1,8,5,1,9,15,9.4,1.19,0.3
Justin WilsonCIN,RP,55,0,0,4.53,1,5,2,11,43.2,45,22,8,10,49,10.1,1.26,0.3
Tanner BanksPHI/CHW,RP,57,1,0,3.68,2,2,2,7,66,61,27,6,21,73,10,1.24,0.3
Casey MizeDET,SP,19,19,6,4.47,2,6,0,0,94.2,110,47,11,23,71,6.8,1.4,0.3
Adam OllerMIA,SP,5,5,1,5.4,1,3,0,0,26.2,21,16,4,16,24,8.1,1.39,0.3
Jacob LatzTEX,RP,46,0,0,3.71,2,3,0,9,43.2,39,18,6,27,40,8.2,1.51,0.3
AJ Smith-ShawverATL,SP,1,1,0,0,0,0,0,0,4.1,3,0,0,2,4,8.3,1.15,0.3
Lucas SimsBOS/CIN,RP,54,0,0,4.57,1,6,1,16,45.1,39,23,8,27,47,9.3,1.46,0.3
Rob ZastryznyMIL,RP,9,3,0,1.17,1,0,0,0,7.2,4,1,0,1,5,5.9,0.65,0.3
Luis MedinaOAK,SP,8,8,1,5.18,2,4,0,0,40,43,23,4,20,32,7.2,1.58,0.3
Christian ScottNYM,SP,9,9,3,4.56,0,3,0,0,47.1,45,24,8,12,39,7.4,1.2,0.3
Kyle NicolasPIT,RP,49,0,0,3.76,2,2,0,8,52.2,49,22,3,30,53,9.1,1.5,0.3
Ronny HenriquezMIN,RP,12,1,0,2.81,1,0,0,1,16,14,5,2,3,12,6.8,1.06,0.3
Alex CobbCLE,SP,3,3,1,2.76,2,1,0,0,16.1,14,5,1,3,10,5.5,1.04,0.3
Chris PaddackMIN,SP,17,17,4,4.99,5,3,0,0,88.1,102,49,14,21,79,8,1.39,0.3
Jalen BeeksPIT/COL,RP,65,0,0,4.15,7,4,10,8,65,65,30,6,24,53,7.3,1.37,0.3
